"title","option1","option2","option3","option4"
"1","1 John in addition to the two monitors, the books from the staff room to the
classroom every morning.","(1) carry

","(2) carries

","(3) carrying

"
"1","2 When, the results of the competition were announced, neither the winner nor his parents
at the hall.","(1) is

","(2) are
","(3) was
"
"1","-","(1) many
","(2) much
","(3) little
"
"1","4 My grandmother managed to prepare a nutritions meal for us having only a few
in the refrigerator.","(1) despite

","(2) besides

","(3) because of
"
"1","-(‘1} knock

","(2) knocks

","(3) knocked

","(4) was knocking"
"2","7 “| have never Such an interesting flower before,” exclaimed the old lady as she
looked closely at it.","(1) see

","(2) saw

","(3) seen

"
"2","8 ifshe more water throughout the day, she would not have been dehydrated.","(1) drunk
","(2) drinks
","(3) has drunk
"
"2","3 All of the luggage to the collection point except the one that belonged to the elderly
bespectacled man. -","(1) Is delivering

","(2) was delivered

","(3) has been delivering
"
"2","10 in order to be healthier, Mrs Chandra eliminated salty food and sugary drinks her
diet.","-","-","-"
"3","14 The teacher praised Tom for being a pupil as he always checks his work carefully
and submits his assignments on time.","(1) conscious
","(2) respeciful
","(3) productive
"
"3","(1) assaled
(2) criticised
(3) surrounded
(4) approached","(1) assaled
","(2) criticised
","(3) surrounded
"
"umm","umm1","umm2","umm3","umm4"
"3","45 Akhougnh ine doctors were of ihe opinion thai the pattent had a good chance of recovery, his
condition rapidly after the operation.","(1) aecomposed
","(2) deteriorated
","(3) desiructed
"
"4","76 (1) curiously
(2) randomly
(3) recklessly
(4) relentlessly","(1) curiously
","(2) randomly
","(3) recklessly
"
"4","Tf (4) an undeniable
(2) an irremovable
(3) an unbelievable
(4) an unforgeitable","(4) an undeniable
","(2) an irremovable
","(3) an unbelievable
"
"4","43d (1) adepi
(2) perfect
(3) correct
(4) accurate","(1) adepi
","(2) perfect
","(3) correct
"
