,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,"-25 February 2019Duration of Paper (Booklets A & B): 1h 30 min1 John in addition to the two monitors, the books from the staff room to the
classroom every morning.",-,"(1) carry

","(2) carries

","(3) carrying

",(4) have carried,ENGLISH,2019,chij,CA1,1,Yes,TempImages/8.jpg;TempImages/7.jpg;TempImages/6.jpg;TempImages/5.jpg;TempImages/4.jpg;TempImages/3.jpg;TempImages/2.jpg;TempImages/1.jpg
2,P6,"2 When, the results of the competition were announced, neither the winner nor his parents
at the hall.",-,"(1) is

","(2) are
","(3) was
",(4) were,ENGLISH,2019,chij,CA1,2,No,-
3,P6,-,-,"(1) many
","(2) much
","(3) little
",(4) few,ENGLISH,2019,chij,CA1,3,Yes,TempImages/11.jpg
4,P6,"4 My grandmother managed to prepare a nutritions meal for us having only a few
in the refrigerator.",-,"(1) despite

","(2) besides

","(3) because of
",(4) resulting from,ENGLISH,2019,chij,CA1,4,No,-
5,P6,"-(‘1} knock

",-,"(2) knocks

","(3) knocked

",(4) was knocking,"(1) isn'tit

",ENGLISH,2019,chij,CA1,5,Yes,TempImages/10.jpg;TempImages/9.jpg;TempImages/13.jpg
6,P6,"7 “| have never Such an interesting flower before,” exclaimed the old lady as she
looked closely at it.",-,"(1) see

","(2) saw

","(3) seen

",(4) been seeing,ENGLISH,2019,chij,CA1,6,No,-
7,P6,"8 ifshe more water throughout the day, she would not have been dehydrated.",-,"(1) drunk
","(2) drinks
","(3) has drunk
",(4) ~~ had drunk,ENGLISH,2019,chij,CA1,7,No,-
8,P6,"3 All of the luggage to the collection point except the one that belonged to the elderly
bespectacled man. -",-,"(1) Is delivering

","(2) was delivered

","(3) has been delivering
",(4) have been delivered,ENGLISH,2019,chij,CA1,8,No,-
9,P6,"10 in order to be healthier, Mrs Chandra eliminated salty food and sugary drinks her
diet.",-,-,-,-,-,ENGLISH,2019,chij,CA1,9,Yes,-;TempImages/12.jpg
10,P6,"14 The teacher praised Tom for being a pupil as he always checks his work carefully
and submits his assignments on time.",-,"(1) conscious
","(2) respeciful
","(3) productive
",(4) conscientious,ENGLISH,2019,chij,CA1,10,No,-
11,P6,"(1) assaled
(2) criticised
(3) surrounded
(4) approached",-,"(1) assaled
","(2) criticised
","(3) surrounded
",(4) approached,ENGLISH,2019,chij,CA1,11,No,-
12,P6,"43 The teacher encouraged her pupils to read by snaring with them books on a wide
variety of topics.",-,"(1) extensively
","(2) bountifully
","(3) studiously
",(4) plentifully,ENGLISH,2019,chij,CA1,12,Yes,-;TempImages/15.jpg
13,P6,"45 Akhougnh ine doctors were of ihe opinion thai the pattent had a good chance of recovery, his
condition rapidly after the operation.",-,"(1) aecomposed
","(2) deteriorated
","(3) desiructed
",(4) degraded,ENGLISH,2019,chij,CA1,13,Yes,-;TempImages/14.jpg;TempImages/19.jpg;TempImages/18.jpg;TempImages/17.jpg
14,P6,"76 (1) curiously
(2) randomly
(3) recklessly
(4) relentlessly",-,"(1) curiously
","(2) randomly
","(3) recklessly
",(4) relentlessly,ENGLISH,2019,chij,CA1,14,No,-
15,P6,"Tf (4) an undeniable
(2) an irremovable
(3) an unbelievable
(4) an unforgeitable",-,"(4) an undeniable
","(2) an irremovable
","(3) an unbelievable
",(4) an unforgeitable,ENGLISH,2019,chij,CA1,15,No,-
16,P6,"43d (1) adepi
(2) perfect
(3) correct
(4) accurate",-,"(1) adepi
","(2) perfect
","(3) correct
",(4) accurate,ENGLISH,2019,chij,CA1,16,Yes,-;TempImages/16.jpg
17,P6,"193 (1) talent
{2) apathy
(3) passion
(4) indifference",-,"(1) talent
","{2) apathy
","(3) passion
",(4) indifference,ENGLISH,2019,chij,CA1,17,No,-
